County,Cost-of-food index,Weighted cost per meal,,,
Hunt, 0.946 , $2.59 ,,10732.16,4335.4
Hutchinson, 1.055 , $2.89 ,,2135.1,815.1
Irion, 0.878 , $2.41 ,,118.8,55.2
Jack, 1.024 , $2.81 ,,879.1,475.31
Jackson, 0.825 , $2.26 ,,1172.49,792.11
Jasper, 0.901 , $2.47 ,,4591.7,1941.8
Jeff Davis, 1.060 , $2.90 ,,210,56.56
Jefferson, 0.898 , $2.46 ,,34273.98,19315.92
Jim Hogg, 0.769 , $2.11 ,,520,0
Jim Wells, 0.811 , $2.22 ,,4542.79,0
Johnson, 0.851 , $2.33 ,,12828.48,8505.84
Jones, 1.065 , $2.92 ,,1479.2,1785.36
Karnes, 0.890 , $2.44 ,,1456.64,1085.44
Kaufman, 0.992 , $2.72 ,,8328.84,7098.06
Kendall, 0.972 , $2.66 ,,1865.94,2251.84
Kenedy, 0.795 , $2.18 ,,69.92,0
Kent, 0.959 , $2.63 ,,77.09,35.36
Kerr, 0.922 , $2.53 ,,5044.64,2076.3
Kimble, 0.923 , $2.53 ,,389.9,263.9
King, 1.038 , $2.84 ,,8.24,28.16
Kinney, 0.747 , $2.05 ,,480.24,0
Kleberg, 0.867 , $2.38 ,,4501.44,0
Knox, 0.990 , $2.71 ,,541.2,73.92
Lamar, 0.955 , $2.62 ,,6848.52,2608.96
Lamb, 0.940 , $2.58 ,,2113.67,153.43
Lampasas, 0.924 , $2.53 ,,2237.8,887.75
La Salle, 0.775 , $2.12 ,,900,0
Lavaca, 0.828 , $2.27 ,,1689.12,839.04
Lee, 0.961 , $2.63 ,,1320.96,1034.58
Leon, 0.920 , $2.52 ,,1864.02,631.68
Liberty, 0.884 , $2.42 ,,7843.2,4650.88
Limestone, 0.853 , $2.34 ,,2544,1284.72
Lipscomb, 1.001 , $2.74 ,,232.65,183.15
Live Oak, 0.846 , $2.32 ,,934.92,597.84
Llano, 0.891 , $2.44 ,,1906.43,942.33
Loving, 1.045 , $2.86 ,,10,0
Lubbock, 0.936 , $2.57 ,,34595.9,12612.05
Lynn, 0.938 , $2.57 ,,714.35,169.26
McCulloch, 0.951 , $2.61 ,,1028.13,192.21
McLennan, 0.858 , $2.35 ,,32416.2,11228.22
McMullen, 0.860 , $2.36 ,,63.63,24.93
Madison, 0.936 , $2.56 ,,1435.98,954.69
