,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
75052,1.06%,3.41%,27.18%,0.10%,25.97%,0.12%,42.16%,48.42%,46.16%,5.43%,44.65%,42.32%
75053,0.00%,2.50%,45.00%,0.00%,32.50%,0.00%,22.50%,35.00%,60.00%,7.50%,27.78%,22.22%
75054,0.62%,4.94%,54.32%,0.00%,24.69%,0.00%,15.43%,14.81%,79.63%,5.56%,25.00%,23.33%
75056,0.39%,2.72%,17.18%,0.03%,46.07%,0.20%,33.38%,43.16%,51.54%,5.30%,50.97%,48.41%
75057,0.38%,0.87%,13.13%,0.04%,37.96%,0.11%,47.54%,64.76%,30.81%,4.43%,64.85%,61.65%
75058,0.50%,0.00%,1.99%,0.00%,54.23%,0.00%,42.79%,49.75%,48.26%,1.99%,55.17%,53.45%
75060,0.50%,1.27%,9.03%,0.06%,33.60%,0.07%,55.46%,70.25%,25.01%,4.74%,55.17%,52.71%
75061,0.49%,0.96%,10.53%,0.07%,30.05%,0.04%,57.86%,74.00%,21.34%,4.67%,59.42%,56.87%
75062,0.89%,3.41%,19.61%,0.12%,30.20%,0.10%,45.68%,55.34%,39.05%,5.63%,56.33%,53.90%
75063,1.00%,9.81%,50.70%,0.06%,21.50%,0.17%,16.77%,15.60%,76.88%,7.47%,38.99%,36.81%
75064,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
75065,0.55%,0.66%,9.54%,0.00%,56.36%,0.11%,32.68%,39.80%,53.73%,6.47%,51.96%,49.67%
75066,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
75067,0.48%,10.31%,15.52%,0.16%,34.89%,0.15%,38.50%,50.48%,44.14%,5.38%,61.00%,58.48%
75068,0.47%,1.40%,21.22%,0.07%,45.13%,0.36%,31.32%,41.68%,52.97%,5.36%,50.23%,48.02%
75069,0.46%,0.79%,19.78%,0.10%,31.34%,0.10%,47.42%,56.15%,37.43%,6.42%,54.65%,51.87%
75070,0.28%,4.65%,29.62%,0.14%,44.13%,0.18%,20.96%,18.47%,74.16%,7.37%,42.70%,39.97%
75071,0.59%,2.11%,30.86%,0.12%,40.20%,0.23%,25.93%,28.51%,64.29%,7.20%,47.85%,44.98%
75073,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75074,0.79%,2.69%,16.72%,0.06%,30.10%,0.08%,49.57%,59.66%,34.45%,5.90%,60.69%,57.82%
75075,0.98%,5.73%,18.52%,0.18%,35.12%,0.31%,39.15%,43.00%,49.75%,7.29%,54.90%,52.04%
75076,1.06%,0.15%,1.96%,0.00%,87.48%,0.00%,9.35%,3.77%,90.05%,6.18%,42.00%,38.40%
75077,0.86%,4.09%,25.65%,0.00%,49.03%,0.22%,20.15%,22.09%,70.80%,7.11%,43.02%,39.53%
75078,0.00%,1.90%,19.57%,0.00%,45.38%,0.00%,33.15%,35.33%,58.15%,6.79%,45.76%,43.22%
75080,0.80%,3.13%,15.23%,0.08%,36.47%,0.11%,44.22%,61.61%,33.42%,4.94%,64.33%,62.06%
75081,1.25%,11.54%,28.22%,0.09%,34.54%,0.30%,24.06%,30.53%,64.67%,4.80%,48.33%,45.70%
75082,1.57%,16.54%,27.56%,0.00%,42.91%,0.00%,11.02%,7.48%,85.83%,6.30%,25.23%,23.42%
75083,0.00%,0.00%,37.50%,0.00%,50.00%,0.00%,12.50%,12.50%,75.00%,12.50%,20.00%,20.00%
75085,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75086,0.00%,0.00%,35.00%,0.00%,20.00%,0.00%,40.00%,50.00%,45.00%,5.00%,25.00%,25.00%
75087,0.96%,1.83%,16.25%,0.10%,59.62%,0.00%,21.25%,22.21%,71.25%,6.63%,38.38%,35.61%
75088,0.83%,2.26%,25.58%,0.00%,50.19%,0.08%,21.07%,24.30%,69.90%,5.87%,38.84%,36.91%
75089,0.29%,7.67%,30.72%,0.06%,37.62%,0.12%,23.58%,29.61%,64.77%,5.62%,42.29%,39.69%
75090,0.73%,0.86%,16.09%,0.00%,48.57%,0.10%,33.66%,35.93%,57.05%,7.01%,48.60%,46.35%
75091,0.00%,0.00%,11.76%,5.88%,52.94%,0.00%,23.53%,23.53%,64.71%,11.76%,22.22%,22.22%
75092,1.04%,1.38%,15.84%,0.00%,63.29%,0.04%,18.41%,15.95%,77.00%,7.04%,44.61%,41.79%
75093,0.37%,6.85%,31.70%,0.12%,42.72%,0.12%,18.12%,12.85%,79.31%,7.83%,40.56%,38.08%
75094,5.17%,29.31%,14.94%,0.00%,35.63%,0.00%,14.94%,10.92%,83.33%,6.03%,44.17%,40.83%
75097,0.00%,0.00%,0.00%,0.00%,44.44%,0.00%,55.56%,66.67%,33.33%,0.00%,20.00%,20.00%
