,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
76034,1.40%,6.99%,6.29%,0.00%,71.33%,0.00%,13.29%,10.49%,81.82%,7.69%,33.33%,31.67%
76035,0.75%,0.75%,1.50%,0.00%,67.67%,0.00%,30.08%,26.32%,67.67%,6.02%,46.15%,41.03%
76036,0.84%,1.46%,27.83%,0.09%,50.64%,0.13%,19.00%,18.33%,75.77%,5.90%,42.86%,40.24%
76037,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76039,1.39%,9.39%,23.23%,2.49%,42.63%,0.24%,20.62%,24.99%,69.46%,5.55%,46.97%,44.87%
76040,0.72%,5.09%,31.88%,2.16%,37.90%,0.11%,22.13%,26.26%,68.61%,5.13%,50.94%,48.13%
76041,0.00%,0.00%,22.86%,0.00%,45.71%,0.00%,31.43%,25.71%,65.71%,11.43%,21.43%,21.43%
76043,0.73%,0.37%,0.24%,0.00%,66.26%,0.12%,32.27%,34.47%,60.64%,4.89%,45.42%,41.55%
76044,0.79%,0.20%,1.39%,0.00%,77.82%,0.00%,20.00%,19.41%,76.24%,4.36%,36.84%,35.09%
76046,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76048,0.44%,0.15%,0.91%,0.06%,77.08%,0.03%,21.34%,22.10%,72.04%,5.83%,42.24%,38.94%
76049,0.41%,0.20%,0.86%,0.15%,79.26%,0.05%,19.12%,19.47%,75.75%,4.78%,43.72%,41.39%
76050,0.19%,0.38%,7.25%,0.00%,69.85%,0.00%,22.14%,20.61%,73.28%,5.92%,37.44%,35.38%
76051,0.56%,1.74%,10.69%,0.20%,46.00%,0.12%,40.72%,53.95%,40.76%,5.29%,58.01%,55.36%
76052,1.49%,0.19%,17.35%,0.19%,61.38%,0.00%,19.22%,21.08%,73.69%,5.41%,36.14%,34.34%
76053,0.32%,1.91%,13.62%,0.66%,50.93%,0.09%,32.46%,42.64%,52.37%,4.99%,50.18%,47.85%
76054,2.25%,3.37%,6.37%,1.50%,70.04%,0.00%,16.48%,18.73%,77.15%,4.49%,42.06%,38.32%
76055,0.00%,1.86%,17.81%,0.00%,53.21%,0.83%,26.50%,37.89%,55.28%,6.83%,44.72%,39.75%
76056,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,100.00%,0.00%,0.00%,0.00%,0.00%
76058,0.60%,0.30%,2.21%,0.07%,74.31%,0.17%,22.35%,24.66%,70.36%,4.94%,43.12%,40.28%
76059,2.39%,9.87%,6.18%,5.08%,54.14%,0.00%,22.23%,21.93%,72.88%,5.18%,48.92%,46.46%
76060,1.05%,1.05%,11.20%,0.00%,62.19%,0.13%,24.37%,24.64%,69.30%,5.93%,39.86%,36.59%
76061,2.94%,0.00%,0.00%,0.00%,88.24%,0.00%,8.82%,8.82%,88.24%,0.00%,41.67%,41.67%
76062,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76063,0.75%,2.66%,23.10%,0.03%,45.30%,0.11%,28.06%,31.05%,63.12%,5.84%,44.35%,42.09%
76064,0.00%,0.00%,4.85%,0.00%,70.87%,0.00%,25.24%,24.27%,69.90%,6.80%,24.39%,24.39%
76065,0.41%,0.31%,6.53%,0.00%,64.32%,0.10%,28.33%,29.36%,64.32%,6.38%,45.17%,42.99%
76066,0.41%,0.00%,1.65%,0.00%,83.06%,0.00%,14.88%,12.81%,80.58%,6.61%,34.41%,32.26%
76067,0.38%,0.35%,4.42%,0.00%,71.37%,0.09%,23.38%,22.21%,70.82%,6.97%,40.19%,37.20%
76068,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,25.00%,25.00%,50.00%,0.00%,50.00%,50.00%
76069,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
76070,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,92.86%,0.00%,37.50%,37.50%
76071,0.19%,0.19%,3.96%,0.00%,73.58%,0.19%,21.89%,19.81%,72.26%,7.92%,37.85%,35.59%
76073,0.00%,0.55%,1.38%,0.00%,81.82%,0.28%,15.70%,9.09%,80.17%,10.74%,34.85%,33.33%
76077,2.13%,0.00%,0.00%,0.00%,91.49%,0.00%,6.38%,0.00%,89.36%,10.64%,41.18%,35.29%
76078,0.23%,0.23%,2.45%,0.23%,65.93%,0.23%,30.81%,28.47%,61.14%,10.50%,41.11%,38.15%
76079,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76082,0.46%,0.14%,1.24%,0.00%,82.81%,0.09%,15.22%,13.76%,79.73%,6.51%,39.18%,36.79%
76084,0.66%,1.33%,4.65%,0.22%,63.12%,0.00%,30.01%,34.22%,60.35%,5.43%,43.77%,41.28%
76085,0.43%,0.64%,2.13%,0.00%,74.60%,0.00%,22.20%,20.92%,73.00%,6.08%,46.08%,42.63%
76086,0.31%,0.53%,4.97%,0.00%,68.51%,0.08%,25.64%,25.75%,67.52%,6.73%,44.99%,41.18%
76087,0.32%,0.25%,2.28%,0.00%,71.61%,0.06%,25.54%,28.07%,66.35%,5.64%,45.08%,41.86%
76088,0.35%,0.24%,1.88%,0.12%,77.97%,0.00%,19.55%,17.20%,77.39%,5.42%,46.00%,42.67%
76092,0.00%,3.95%,2.63%,0.00%,68.42%,0.00%,25.66%,32.24%,65.79%,1.97%,38.89%,37.04%
76093,0.00%,0.00%,0.37%,0.00%,88.19%,0.00%,11.44%,7.01%,86.72%,5.90%,41.05%,40.00%
76094,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76095,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76096,12.50%,6.25%,56.25%,0.00%,25.00%,0.00%,6.25%,0.00%,87.50%,12.50%,28.57%,28.57%
76097,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,10.00%,90.00%,0.00%,50.00%,25.00%
76098,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76101,0.00%,2.22%,28.89%,0.00%,33.33%,0.00%,35.56%,42.22%,48.89%,11.11%,11.11%,11.11%
76102,0.55%,0.50%,54.72%,0.05%,22.01%,0.00%,22.16%,24.07%,70.55%,5.38%,22.15%,20.30%
76103,0.75%,4.25%,28.59%,0.00%,26.47%,0.00%,39.94%,48.70%,45.23%,6.07%,41.84%,39.42%
76104,0.57%,1.96%,42.40%,0.03%,19.49%,0.01%,35.53%,41.77%,51.68%,6.56%,38.95%,36.94%
76105,0.37%,0.38%,38.31%,0.04%,18.71%,0.01%,42.17%,51.13%,43.10%,5.76%,42.74%,40.57%
76106,0.29%,0.49%,7.53%,0.02%,28.75%,0.02%,62.92%,79.23%,16.05%,4.72%,51.44%,49.13%
76107,0.42%,0.84%,35.70%,0.03%,30.73%,0.08%,32.19%,39.65%,54.66%,5.72%,41.03%,39.01%
76108,0.49%,0.80%,11.14%,0.02%,60.98%,0.13%,26.44%,28.68%,65.20%,6.12%,43.11%,40.54%
76109,0.39%,1.43%,27.79%,0.00%,44.55%,0.26%,25.58%,26.49%,66.49%,7.14%,44.41%,42.55%
76110,0.30%,0.64%,5.40%,0.04%,34.38%,0.01%,59.21%,78.59%,16.87%,4.53%,49.80%,48.01%
76111,0.50%,2.36%,5.70%,0.04%,36.06%,0.00%,55.36%,70.73%,24.83%,4.45%,50.88%,48.57%
76112,0.23%,1.04%,56.38%,0.09%,19.06%,0.09%,23.12%,24.85%,68.10%,7.05%,39.14%,36.81%
76113,0.00%,0.00%,14.29%,0.00%,57.14%,0.00%,42.86%,28.57%,42.86%,14.29%,66.67%,66.67%
76114,0.25%,0.51%,2.69%,0.02%,47.80%,0.04%,48.69%,59.20%,35.73%,5.07%,45.57%,42.84%
76115,0.44%,2.74%,15.00%,0.03%,30.18%,0.03%,51.61%,68.37%,26.24%,5.39%,51.21%,49.52%
76116,0.36%,1.02%,25.41%,0.08%,38.50%,0.13%,34.51%,39.87%,53.40%,6.71%,45.34%,42.80%
76117,0.78%,3.14%,5.80%,0.16%,48.98%,0.15%,40.99%,51.96%,43.23%,4.81%,50.70%,48.64%
76118,0.62%,3.17%,10.44%,0.37%,55.56%,0.06%,29.71%,36.67%,58.48%,4.91%,46.89%,44.87%
76119,0.30%,6.33%,42.67%,0.06%,16.35%,0.03%,34.27%,36.35%,56.72%,6.92%,43.11%,40.82%
76120,0.67%,1.66%,64.10%,0.00%,17.78%,0.06%,15.77%,14.81%,78.27%,6.94%,40.57%,38.44%
76121,0.00%,12.50%,25.00%,0.00%,62.50%,0.00%,12.50%,0.00%,100.00%,0.00%,50.00%,50.00%
76122,0.00%,0.00%,70.00%,0.00%,10.00%,0.00%,20.00%,10.00%,80.00%,10.00%,25.00%,25.00%
76123,0.51%,2.76%,55.20%,0.11%,20.01%,0.17%,21.23%,22.46%,70.96%,6.58%,42.59%,40.14%
76124,0.00%,0.00%,71.43%,0.00%,0.00%,0.00%,14.29%,0.00%,85.71%,0.00%,33.33%,33.33%
76126,0.57%,0.34%,9.81%,0.11%,71.49%,0.00%,17.79%,18.81%,75.71%,5.47%,40.73%,38.30%
76127,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76129,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,100.00%,50.00%,0.00%,0.00%
76130,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76131,0.98%,3.67%,20.80%,0.23%,43.98%,0.08%,30.27%,35.98%,58.07%,5.95%,45.70%,43.34%
76132,0.46%,10.72%,38.01%,0.04%,29.44%,0.14%,21.16%,16.89%,73.62%,9.45%,42.20%,40.90%
76133,0.49%,1.85%,38.92%,0.07%,26.66%,0.03%,31.99%,38.56%,54.96%,6.49%,45.03%,42.34%
76134,0.43%,1.39%,49.69%,0.09%,19.65%,0.02%,28.75%,30.65%,62.49%,6.88%,42.28%,39.72%
76135,0.42%,0.49%,7.49%,0.03%,62.59%,0.00%,28.98%,33.23%,60.88%,5.92%,40.33%,38.38%
76136,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%
76137,0.68%,4.66%,19.29%,0.17%,47.54%,0.19%,27.46%,34.17%,60.24%,5.58%,47.62%,44.74%
76139,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76140,0.40%,0.81%,43.50%,0.05%,24.22%,0.06%,30.95%,34.79%,58.78%,6.43%,44.73%,41.86%
76147,0.00%,33.33%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76148,0.80%,3.37%,7.89%,0.80%,63.19%,0.18%,23.77%,29.36%,65.14%,5.54%,46.76%,43.80%
76149,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,100.00%,0.00%,0.00%,100.00%,100.00%
76150,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76151,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
76153,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76155,0.00%,3.29%,46.01%,0.47%,28.17%,0.00%,22.07%,25.82%,68.08%,6.10%,45.26%,42.11%
76161,0.00%,0.00%,0.00%,20.00%,33.33%,0.00%,53.33%,53.33%,53.33%,0.00%,60.00%,60.00%
76162,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76163,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76164,0.30%,0.12%,1.92%,0.02%,28.34%,0.02%,69.28%,87.05%,8.27%,4.68%,49.17%,46.96%
76165,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76166,0.00%,0.00%,16.67%,0.00%,33.33%,0.00%,50.00%,16.67%,83.33%,0.00%,33.33%,0.00%
76167,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76177,0.78%,5.84%,24.12%,0.00%,46.30%,0.39%,23.35%,26.85%,67.70%,5.45%,45.88%,43.53%
76179,0.72%,3.90%,11.60%,0.05%,54.40%,0.08%,29.28%,33.90%,60.59%,5.52%,43.46%,41.11%
76180,1.08%,3.71%,14.20%,0.40%,56.51%,0.20%,23.95%,28.87%,65.01%,6.12%,49.96%,47.74%
76181,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76182,0.45%,2.06%,12.44%,0.00%,65.26%,0.00%,19.79%,21.84%,73.23%,4.92%,40.20%,37.91%
76185,0.00%,0.00%,100.00%,0.00%,33.33%,0.00%,0.00%,33.33%,100.00%,0.00%,0.00%,0.00%
76189,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76192,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76196,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76198,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
76199,0.00%,0.00%,55.56%,0.00%,22.22%,0.00%,22.22%,0.00%,77.78%,22.22%,0.00%,0.00%
76201,0.78%,1.44%,19.55%,0.06%,49.94%,0.11%,28.13%,36.82%,57.31%,5.87%,55.22%,52.99%
76202,0.00%,0.00%,21.74%,0.00%,47.83%,0.00%,30.43%,47.83%,47.83%,8.70%,16.67%,16.67%
76203,0.00%,0.00%,16.67%,0.00%,50.00%,0.00%,16.67%,66.67%,33.33%,0.00%,75.00%,75.00%
76204,0.00%,0.00%,65.63%,0.00%,21.88%,0.00%,9.38%,6.25%,84.38%,9.38%,38.46%,38.46%
76205,0.65%,1.20%,26.41%,0.00%,42.11%,0.18%,29.50%,37.44%,56.79%,5.82%,54.35%,50.92%
76206,0.00%,0.00%,57.14%,0.00%,14.29%,0.00%,28.57%,28.57%,71.43%,0.00%,50.00%,50.00%
76207,0.60%,0.68%,15.83%,0.08%,46.72%,0.23%,35.80%,47.48%,47.63%,4.90%,55.08%,51.77%
76208,0.32%,0.49%,16.00%,0.04%,47.82%,0.14%,35.24%,47.22%,47.15%,5.64%,53.39%,50.68%
76209,0.48%,0.45%,19.70%,0.09%,46.97%,0.12%,32.20%,43.98%,49.97%,6.05%,53.31%,50.30%
76210,0.39%,1.50%,17.98%,0.05%,53.41%,0.24%,26.44%,36.25%,59.01%,4.74%,50.64%,48.07%
76219,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,66.67%,100.00%,100.00%
76225,0.36%,0.36%,1.42%,0.00%,83.63%,0.00%,14.23%,10.32%,80.43%,9.25%,40.63%,37.50%
76226,0.75%,0.25%,4.02%,0.00%,65.08%,0.00%,30.15%,35.43%,59.05%,5.78%,43.75%,41.41%
76227,0.59%,0.91%,20.08%,0.13%,60.69%,0.20%,17.47%,17.34%,76.92%,5.74%,43.65%,40.78%
76228,0.00%,0.00%,0.00%,0.00%,87.91%,0.00%,12.09%,6.59%,84.62%,8.79%,22.86%,20.00%
76230,0.36%,0.71%,0.80%,0.00%,82.24%,0.09%,15.90%,12.08%,79.66%,8.26%,39.66%,36.98%
76233,0.99%,0.66%,3.30%,0.00%,74.26%,0.00%,20.79%,16.50%,74.59%,8.91%,41.00%,37.00%
76234,0.38%,1.15%,1.85%,0.00%,60.15%,0.00%,36.54%,37.69%,56.00%,6.31%,47.29%,45.48%
76235,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76237,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76238,0.00%,0.00%,9.09%,0.00%,81.82%,0.00%,9.09%,9.09%,90.91%,9.09%,25.00%,0.00%
76239,0.00%,0.00%,1.35%,0.00%,83.78%,0.00%,13.51%,10.81%,83.78%,4.05%,50.00%,50.00%
76240,0.54%,0.32%,8.03%,0.02%,56.42%,0.05%,34.68%,36.21%,57.59%,6.22%,47.12%,44.71%
76241,0.00%,0.00%,10.00%,0.00%,80.00%,0.00%,10.00%,0.00%,90.00%,10.00%,20.00%,20.00%
76243,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76244,0.73%,5.41%,16.60%,0.23%,55.90%,0.12%,21.09%,27.38%,66.64%,5.98%,42.21%,40.07%
76245,2.19%,0.44%,0.88%,0.00%,88.16%,0.00%,8.33%,8.33%,87.28%,4.39%,34.12%,30.59%
76246,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,16.67%,16.67%,66.67%,16.67%,66.67%,66.67%
76247,1.18%,1.07%,8.52%,0.12%,68.76%,0.00%,20.24%,21.54%,72.90%,5.44%,42.34%,40.15%
76248,1.13%,3.69%,15.04%,0.28%,63.83%,0.14%,15.89%,17.59%,77.02%,5.53%,37.15%,34.78%
76249,1.35%,0.19%,4.45%,0.00%,75.24%,0.19%,18.57%,25.15%,70.79%,4.06%,48.00%,44.57%
76250,7.14%,7.14%,0.00%,0.00%,85.71%,0.00%,7.14%,0.00%,100.00%,0.00%,50.00%,50.00%
76251,0.00%,0.00%,0.00%,0.00%,89.47%,0.00%,10.53%,3.51%,87.72%,8.77%,38.89%,27.78%
76252,3.57%,0.00%,2.38%,0.00%,66.67%,0.00%,27.38%,26.19%,70.24%,4.76%,45.16%,41.94%
76253,0.00%,0.00%,6.25%,0.00%,81.25%,0.00%,12.50%,6.25%,87.50%,6.25%,40.00%,40.00%
76255,0.90%,0.15%,0.60%,0.00%,75.72%,0.00%,22.62%,27.30%,67.12%,5.58%,40.83%,39.17%
76258,0.74%,0.44%,7.79%,0.00%,53.53%,0.29%,37.35%,47.79%,46.03%,6.32%,60.61%,58.59%
76259,0.82%,0.27%,3.54%,0.00%,71.66%,0.00%,23.71%,23.98%,68.66%,7.36%,45.83%,43.33%
76261,0.00%,0.00%,0.00%,0.00%,78.13%,0.00%,21.88%,28.13%,65.63%,6.25%,27.27%,27.27%
76262,1.48%,1.32%,5.44%,0.00%,67.22%,0.33%,24.22%,32.62%,60.96%,6.59%,50.72%,49.28%
76263,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76264,0.80%,0.00%,1.60%,0.00%,86.40%,0.00%,12.00%,8.00%,85.60%,7.20%,34.78%,32.61%
76265,0.61%,0.00%,1.82%,0.00%,80.61%,0.00%,16.97%,13.33%,81.82%,5.45%,41.07%,37.50%
76266,1.04%,0.69%,5.75%,0.00%,71.33%,0.07%,21.12%,26.80%,67.94%,5.26%,43.31%,40.79%
76267,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,25.00%,25.00%,50.00%,50.00%,50.00%
76268,2.38%,0.00%,0.00%,0.00%,83.33%,0.00%,14.29%,2.38%,85.71%,11.90%,37.50%,37.50%
76270,0.00%,0.00%,0.00%,0.00%,85.06%,0.00%,14.29%,8.44%,83.77%,7.79%,41.38%,36.21%
76271,0.00%,0.00%,1.04%,0.00%,70.83%,0.00%,28.13%,34.38%,59.38%,6.25%,43.75%,40.63%
76272,0.82%,0.00%,1.43%,0.20%,77.35%,0.00%,20.20%,23.47%,71.02%,5.71%,41.76%,37.06%
76273,1.04%,0.26%,0.91%,0.00%,82.10%,0.13%,15.69%,13.49%,80.67%,5.84%,44.40%,40.67%
76275,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,83.33%,66.67%,16.67%,16.67%,100.00%,100.00%
76280,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76301,0.89%,0.40%,24.93%,0.04%,43.67%,0.08%,29.98%,30.40%,61.38%,8.22%,40.03%,36.65%
76302,0.65%,0.17%,23.01%,0.00%,49.32%,0.04%,26.80%,27.02%,64.53%,8.45%,45.66%,41.55%
76303,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76305,0.24%,0.00%,14.46%,0.00%,68.43%,0.00%,16.63%,14.94%,76.63%,8.43%,41.72%,38.04%
76306,0.48%,0.63%,26.87%,0.06%,44.96%,0.09%,26.93%,25.85%,66.03%,8.09%,42.05%,38.76%
76307,0.00%,0.00%,15.00%,0.00%,75.00%,0.00%,10.00%,20.00%,75.00%,10.00%,28.57%,21.43%
76308,0.88%,1.28%,11.59%,0.08%,66.51%,0.08%,19.58%,20.94%,71.94%,7.11%,49.18%,47.13%
76309,0.81%,0.51%,9.87%,0.00%,54.79%,0.00%,34.03%,38.28%,53.93%,7.78%,43.59%,39.52%
76310,1.46%,1.92%,12.19%,0.15%,67.25%,0.00%,16.95%,16.33%,75.46%,8.13%,43.66%,40.94%
76311,1.75%,5.26%,26.32%,0.00%,43.86%,0.00%,21.05%,19.30%,78.95%,3.51%,50.00%,42.86%
76324,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,50.00%,50.00%,0.00%,100.00%,100.00%
76328,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76338,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76351,0.54%,0.00%,2.16%,0.00%,87.03%,0.54%,9.73%,4.32%,86.49%,9.19%,39.19%,33.78%
76354,0.60%,0.20%,7.26%,0.00%,76.34%,0.20%,15.46%,13.51%,79.30%,7.19%,39.03%,36.43%
76355,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,20.00%,80.00%,0.00%,100.00%,100.00%
76357,1.64%,0.00%,1.64%,0.00%,91.80%,0.00%,6.56%,4.92%,90.16%,4.92%,33.33%,29.63%
76358,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76360,0.87%,0.43%,12.15%,0.00%,68.33%,0.22%,18.44%,15.84%,75.27%,9.11%,33.70%,30.94%
76361,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76363,0.00%,0.00%,6.85%,0.00%,76.71%,0.00%,15.07%,42.47%,50.68%,6.85%,50.00%,50.00%
76364,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,16.67%,50.00%,33.33%,100.00%,100.00%
76365,2.04%,0.23%,1.59%,0.00%,85.03%,0.00%,10.88%,7.71%,84.81%,7.71%,39.76%,37.95%
76366,1.47%,0.00%,1.47%,0.00%,84.31%,0.00%,12.75%,8.33%,82.84%,8.82%,43.21%,37.04%
76367,0.12%,0.12%,2.16%,0.00%,87.62%,0.00%,9.98%,5.65%,87.62%,6.73%,46.15%,42.47%
76369,0.00%,0.00%,0.00%,0.00%,77.78%,0.00%,22.22%,0.00%,77.78%,22.22%,25.00%,25.00%
76370,2.17%,0.00%,0.00%,0.00%,86.96%,0.00%,10.87%,6.52%,84.78%,8.70%,46.67%,46.67%
76371,0.67%,0.00%,9.36%,0.00%,43.48%,0.33%,46.15%,56.86%,36.79%,6.69%,49.00%,44.00%
76372,2.11%,0.00%,0.00%,0.00%,86.32%,0.00%,11.58%,7.37%,82.11%,10.53%,36.36%,33.33%
76373,0.00%,0.00%,0.00%,0.00%,73.08%,0.00%,26.92%,23.08%,61.54%,15.38%,42.86%,42.86%
76374,0.26%,0.78%,4.01%,0.13%,71.45%,0.00%,23.51%,25.32%,67.57%,7.11%,34.21%,29.93%
76377,0.00%,0.00%,0.00%,0.00%,93.67%,0.00%,6.33%,3.80%,91.14%,6.33%,34.38%,34.38%
76379,0.00%,0.00%,10.71%,0.00%,42.86%,0.00%,50.00%,53.57%,39.29%,3.57%,62.50%,50.00%
76380,0.71%,0.00%,6.43%,0.00%,73.93%,0.00%,18.93%,19.11%,73.21%,7.86%,42.15%,37.67%
76381,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76384,0.64%,0.05%,12.98%,0.00%,52.53%,0.00%,33.85%,38.21%,52.58%,9.22%,46.40%,42.27%
76385,0.00%,0.00%,25.00%,0.00%,62.50%,0.00%,25.00%,0.00%,62.50%,37.50%,0.00%,0.00%
76388,0.00%,0.00%,0.00%,0.00%,37.93%,0.00%,62.07%,55.17%,27.59%,13.79%,33.33%,33.33%
76389,0.00%,0.00%,0.00%,0.00%,43.28%,0.00%,56.72%,68.66%,25.37%,7.46%,55.56%,55.56%
76401,0.38%,0.45%,2.34%,0.03%,62.55%,0.03%,34.20%,35.84%,57.20%,6.99%,53.85%,51.48%
76402,0.00%,0.00%,16.67%,0.00%,66.67%,0.00%,16.67%,16.67%,66.67%,16.67%,100.00%,100.00%
76412,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76415,0.00%,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,100.00%,50.00%,0.00%,100.00%,100.00%
76416,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76424,0.14%,0.21%,2.17%,0.07%,64.66%,0.07%,32.75%,31.21%,62.62%,6.17%,44.72%,40.75%
76426,0.67%,0.17%,1.09%,0.08%,64.38%,0.17%,33.45%,37.72%,55.83%,6.45%,43.52%,40.34%
76427,1.94%,0.00%,0.97%,0.00%,85.44%,0.00%,11.65%,7.77%,82.52%,10.68%,27.50%,25.00%
76429,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,16.67%,11.11%,83.33%,5.56%,83.33%,83.33%
76430,0.47%,0.47%,4.21%,0.00%,83.64%,0.47%,10.75%,11.68%,83.18%,5.14%,39.51%,34.57%
76431,0.00%,0.00%,1.94%,0.00%,73.33%,0.00%,24.44%,20.28%,71.67%,8.06%,34.88%,32.56%
76432,0.00%,0.87%,3.48%,0.00%,67.83%,0.87%,26.96%,29.57%,60.87%,8.70%,41.03%,35.90%
76433,0.00%,0.00%,0.00%,0.00%,77.46%,0.00%,22.54%,15.49%,74.65%,9.86%,30.77%,26.92%
76435,1.85%,0.00%,0.00%,0.00%,72.22%,0.00%,25.93%,22.22%,70.37%,7.41%,35.00%,30.00%
76436,0.00%,0.00%,4.00%,0.00%,80.00%,0.00%,16.00%,24.00%,68.00%,12.00%,23.08%,7.69%
76437,0.54%,0.27%,2.31%,0.00%,79.78%,0.00%,17.10%,13.70%,79.38%,6.92%,39.78%,36.20%
